id,title,title_th,filepath,thumbnail,added_date,environment,location_type,location_country,mood,color_temp,brightness,topics,editorial_fit,time_of_day,lighting_style,has_sfx_light,sfx_light_types,motion_type,style,has_particles,particle_types,usage_type,subject_placement,background_complexity,platform_fit,resolution,file_format,is_loopable,engine,status,notes
VP-001,Sci-Fi Lab Portal — Robot & Steam,ห้องแล็บไซไฟ พอร์ทัลหุ่นยนต์ มีควัน,indoor/sci-fi/VP-001-scifi-lab-portal-warm-dramatic-v1.png,_thumbnails/VP-001_thumb.png,2026-03-17,indoor,sci-fi-lab,fictional,"dramatic|mysterious|futuristic",warm,dark,"AI|robot|technology|innovation|sci-fi","Tech|Entertainment|Business",timeless,dramatic-hard,TRUE,"portal-glow|light-rays|volumetric",subtle-ambient,cinematic,TRUE,"smoke|steam","standup-report|explainer|podcast-video",center,complex-detailed,"16:9|9:16",HD,png,FALSE,AI-Generated,active,ลำแสงพอร์ทัลสว่างมาก — ต้องเพิ่ม key light ฝั่งซ้ายของ presenter เพื่อ match กับ background light direction
VP-002,Sci-Fi Robot Display Room — Blue Tone,ห้องแสดงหุ่นยนต์ไซไฟ โทนสีน้ำเงิน,indoor/sci-fi/VP-002-scifi-robot-display-cool-serious-v1.png,_thumbnails/VP-002_thumb.png,2026-03-17,indoor,sci-fi-lab,fictional,"serious|authoritative|futuristic|mysterious",cool,dark,"AI|robot|technology|humanoid|future","Tech|Business|News",timeless,studio-flat,TRUE,"neon-glow|display-screens",static,cinematic,FALSE,,"standup-report|news-anchor|interview-single",center,medium,"16:9|9:16",HD,png,FALSE,AI-Generated,active,Background นิ่งมาก เหมาะกับรายการข่าวที่ต้องการ tone จริงจัง ไม่ distract ผู้ชม
VP-003,Industrial Robot Arms — Dark Studio,แขนกลอุตสาหกรรม สตูดิโอมืด,indoor/industrial/VP-003-industrial-robot-arms-dark-tense-v1.png,_thumbnails/VP-003_thumb.png,2026-03-17,indoor,industrial-factory,fictional,"tense|dramatic|mysterious|serious",cool,dark,"automation|manufacturing|technology|industry|robot","Tech|Business|News",timeless,dramatic-hard,FALSE,,static,cinematic,FALSE,,"standup-report|explainer",center,medium,"16:9|9:16",HD,png,FALSE,AI-Generated,active,แขนกลทั้งสองข้างสร้าง symmetry ดี — presenter ต้องยืนตรงกลาง ไม่ควรเดินซ้ายขวา
VP-004,Warehouse Behind-the-Scenes Studio — Warm,คลังสินค้า / สตูดิโอหลังฉาก โทนอบอุ่น,indoor/industrial/VP-004-warehouse-bts-warm-neutral-v1.png,_thumbnails/VP-004_thumb.png,2026-03-17,indoor,warehouse,fictional,"warm|neutral|approachable|authentic",warm,medium,"filmmaking|production|behind-the-scenes|creative|studio","Entertainment|Lifestyle|Tech",interior-lit,practicals-only,FALSE,,static,realistic,FALSE,,"standup-report|interview-single|documentary",left,complex-detailed,16:9,HD,png,FALSE,AI-Generated,active,มีหุ่นยนต์นั่งอยู่ทางขวา — presenter ควรยืนซ้ายหรือกลาง
VP-005,Underground Tunnel — Dark Dramatic,อุโมงค์ใต้ดิน บรรยากาศมืด เข้มข้น,indoor/tunnel-cave/VP-005-tunnel-underground-dark-dramatic-v1.png,_thumbnails/VP-005_thumb.png,2026-03-17,indoor,tunnel-cave,generic,"dramatic|tense|serious|mysterious",neutral,dark,"conflict|war|investigation|underground|crisis","News|Politics",timeless,dramatic-hard,FALSE,,static,documentary,FALSE,,"standup-report|documentary",center,medium,"16:9|9:16",HD,png,FALSE,AI-Generated,active,⚠️ ฉากมืดมากที่สุดในคลัง — ต้อง key light presenter แรงกว่าปกติ 2 stop และเช็ค skin tone
VP-006,Open-Pit Mine / Quarry — Outdoor Daytime,เหมืองเปิด / เหมืองหิน กลางวัน,outdoor/nature-mine/VP-006-outdoor-mine-quarry-day-neutral-v1.png,_thumbnails/VP-006_thumb.png,2026-03-17,outdoor,nature-mine,generic,"serious|documentary|authentic|tense",neutral,medium,"mining|industry|environment|climate|resources|economics","News|Business|Climate",day,natural-soft,FALSE,,static,documentary,FALSE,,"standup-report|documentary",center,complex-detailed,"16:9|9:16",HD,png,FALSE,AI-Generated,active,ฉากกลางวันเดียวใน library — แสง natural ต้องระวัง presenter ถูก overexpose
VP-007,Robot Factory Floor — White Arms Industrial,โรงงานหุ่นยนต์ แขนกลสีขาว อุตสาหกรรม,indoor/industrial/VP-007-industrial-robot-factory-cool-authoritative-v1.png,_thumbnails/VP-007_thumb.png,2026-03-17,indoor,industrial-factory,generic,"authoritative|serious|futuristic|documentary",cool,medium,"manufacturing|automation|robot|industry|technology|economy","Business|Tech|News",interior-lit,studio-flat,FALSE,,static,realistic,FALSE,,"standup-report|news-anchor|documentary",center,complex-detailed,"16:9|9:16",HD,png,FALSE,AI-Generated,active,แสงในฉากสม่ำเสมอมาก — เป็นหนึ่งในฉากที่ match lighting presenter ได้ง่ายที่สุด
VP-008,Retro Music Studio — Vintage Gear & Greenery,สตูดิโอดนตรีวินเทจ เครื่องดนตรีคลาสสิก หน้าต่างมีต้นไม้,indoor/studio-retro/VP-008-retro-music-studio-warm-nostalgic-v1.png,_thumbnails/VP-008_thumb.png,2026-03-17,indoor,studio-retro,generic,"warm|nostalgic|approachable|authentic",warm,medium,"music|culture|entertainment|lifestyle|arts|creativity","Entertainment|Lifestyle|Culture",interior-lit,practicals-only,FALSE,,static,realistic,FALSE,,"standup-report|interview-single|podcast-video",center,complex-detailed,"16:9|9:16",HD,png,FALSE,AI-Generated,active,โทนอบอุ่นมาก เหมาะสำหรับเนื้อหา lifestyle/entertainment — ระวัง backlight จาก window
VP-009,Library Study Room — Academic & Medical,ห้องสมุด/ห้องทำงาน บรรยากาศวิชาการ,indoor/library-study/VP-009-library-study-warm-academic-v1.png,_thumbnails/VP-009_thumb.png,2026-03-17,indoor,library-study,generic,"serious|authoritative|warm|professional",warm,medium,"education|health|analysis|opinion|research|medicine|lifestyle","Lifestyle|News|Business|Health",interior-lit,natural-window,FALSE,,static,realistic,FALSE,,"standup-report|interview-single|documentary|explainer",center,complex-detailed,"16:9|9:16",HD,png,FALSE,AI-Generated,active,โปสเตอร์กายวิภาคบนผนัง เหมาะสำหรับเนื้อหาสุขภาพ/การแพทย์ — แสง window ด้านหลังสม่ำเสมอดี
VP-010,City Skyline — News Desk Outdoor Day,สกายไลน์เมือง กลางวัน ฉากโต๊ะข่าว outdoor,outdoor/city-skyline/VP-010-city-skyline-day-neutral-v1.png,_thumbnails/VP-010_thumb.png,2026-03-17,outdoor,city-skyline,generic,"serious|authoritative|neutral|professional",cool,medium,"news|politics|business|economy|city|development|real-estate","News|Business|Politics",day,natural-overcast,FALSE,,static,realistic,FALSE,,"news-anchor|standup-report|interview-single",center,complex-detailed,"16:9|9:16",HD,png,FALSE,AI-Generated,active,ฉากข่าวกลางวัน outdoor สะอาดที่สุดในคลัง — แสง overcast สม่ำเสมอดี เหมาะรายงานเศรษฐกิจ/การเมือง
